2021-01-09 14:59:31 status half-installed mount:amd64 2.33.1-0.1
2021-01-09 14:59:31 status unpacked mount:amd64 2.33.1-0.1
2021-01-09 14:59:31 install ncurses-base:all <none> 6.1+20181013-2+deb10u2
2021-01-09 14:59:31 status half-installed ncurses-base:all 6.1+20181013-2+deb10u2
2021-01-09 14:59:31 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2021-01-09 14:59:31 install ncurses-bin:amd64 <none> 6.1+20181013-2+deb10u2
2021-01-09 14:59:31 status half-installed ncurses-bin:amd64 6.1+20181013-2+deb10u2
2021-01-09 14:59:31 status unpacked ncurses-bin:amd64 6.1+20181013-2+deb10u2
2021-01-09 14:59:32 install sed:amd64 <none> 4.7-1
2021-01-09 14:59:32 status half-installed sed:amd64 4.7-1
2021-01-09 14:59:32 status unpacked sed:amd64 4.7-1
2021-01-09 14:59:32 install sysvinit-utils:amd64 <none> 2.93-8
2021-01-09 14:59:32 status half-installed sysvinit-utils:amd64 2.93-8
2021-01-09 14:59:32 status unpacked sysvinit-utils:amd64 2.93-8
2021-01-09 14:59:32 install tzdata:all <none> 2019c-0+deb10u1
2021-01-09 14:59:32 status half-installed tzdata:all 2019c-0+deb10u1
2021-01-09 14:59:33 status unpacked tzdata:all 2019c-0+deb10u1
2021-01-09 14:59:33 startup packages configure
2021-01-09 14:59:33 configure debian-archive-keyring:all 2019.1 <none>
2021-01-09 14:59:33 status unpacked debian-archive-keyring:all 2019.1
2021-01-09 14:59:33 status half-configured debian-archive-keyring:all 2019.1
2021-01-09 14:59:33 status installed debian-archive-keyring:all 2019.1
2021-01-09 14:59:33 configure libaudit-common:all 1:2.8.4-3 <none>
2021-01-09 14:59:33 status unpacked libaudit-common:all 1:2.8.4-3
2021-01-09 14:59:33 status half-configured libaudit-common:all 1:2.8.4-3
2021-01-09 14:59:33 status installed libaudit-common:all 1:2.8.4-3
2021-01-09 14:59:33 configure libsemanage-common:all 2.8-2 <none>
2021-01-09 14:59:33 status unpacked libsemanage-common:all 2.8-2
2021-01-09 14:59:33 status half-configured libsemanage-common:all 2.8-2
2021-01-09 14:59:33 status installed libsemanage-common:all 2.8-2
2021-01-09 14:59:33 configure ncurses-base:all 6.1+20181013-2+deb10u2 <none>
2021-01-09 14:59:33 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2021-01-09 14:59:33 status half-configured ncurses-base:all 6.1+20181013-2+deb10u2
2021-01-09 14:59:33 status installed ncurses-base:all 6.1+20181013-2+deb10u2
2021-01-09 14:59:33 configure gcc-8-base:amd64 8.3.0-6 <none>
2021-01-09 14:59:33 status unpacked gcc-8-base:amd64 8.3.0-6
2021-01-09 14:59:33 status half-configured gcc-8-base:amd64 8.3.0-6
2021-01-09 14:59:33 status installed gcc-8-base:amd64 8.3.0-6
2021-01-09 14:59:33 configure libc6:amd64 2.28-10 <none>
2021-01-09 14:59:33 status unpacked libc6:amd64 2.28-10
2021-01-09 14:59:33 status half-configured libc6:amd64 2.28-10
2021-01-09 14:59:33 status installed libc6:amd64 2.28-10
2021-01-09 14:59:33 configure libudev1:amd64 241-7~deb10u2 <none>
2021-01-09 14:59:33 status unpacked libudev1:amd64 241-7~deb10u2
2021-01-09 14:59:33 status half-configured libudev1:amd64 241-7~deb10u2
2021-01-09 14:59:33 status installed libudev1:amd64 241-7~deb10u2
2021-01-09 14:59:33 configure libsepol1:amd64 2.8-1 <none>
